text	emotion	language
Nie pozwól sobie rozkazywać.	1	Polish
A to czemu? - Jest mój!	2	Polish
Hej, spierdalaj!	1	Polish
Wykonujesz tylko rozkazy.	3	Polish
Może raz na jakiś czas z nią sypiasz.	7	Polish
Odprowadzał oszczędności klientów, zniszczył setki żyć i ulotnił się z 200 milionami.	1, 3	Polish
Opowiesz jej, że manipulowałeś nastrojami Amerykanów,	3	Polish
"I nie czynić snów swoim mistrzem.
da/2012/1821427/5446149.xml.gz	pl/2012/1821427/4805988.xml.gz	968	999	Og true disse to bedragere, er det, dèt samme."	5	Polish
Przyszłam was zaprosić na swoją imprezę.	2, 5	Polish
Mam złe usposobienie i straszny akcent. I brzmię jak snob.	3	Polish
- Ale słodziak.	2, 5, 7, 8	Polish
Pośłubiłam Tibeya, bo się w nim zakochałam.	5	Polish
To piękny zamek?	5	Polish
Zarobiłeś te pieniądze.	5, 8	Polish
Co z odciskami palców w sprawie Polhemus? Nie mów mi o komputerze!	1	Polish
Johnny, spójrz na to.	2	Polish
Przykro jest zostać odrzuconym, co?	6	Polish
Sędziowie pana nie słyszą.	4	Polish
Gdzie byłaś?	2	Polish
- Myślę, że dobry z nas zespół.	2, 5, 8	Polish
Nic nie mamy.	1, 6	Polish
Niech Mac zajmie się tą pieprzoną biurokracją.	1	Polish
Sprzedał swoją duszę Diabłu w zamian za jedną chwilę prawdziwego szczęścia.	8	Polish
- Annie, gotowa?	2	Polish
- Ponieważ ja nie lubię mojej matki.	3	Polish
- Może się, kurwa, zamkniesz?	1	Polish
- Niebieski, różowy, żółty lub pomarańczowy?	1	Polish
Nie mogę mieć dzieci, Tommy!	1, 6	Polish
Czy on usiłuje być miły?	3	Polish
Skoro tak bardzo nalegasz, by być jednym z nich, spełnię zadość twojemu życzeniu.	1, 3, 5	Polish
Obwiniają mnie za to.	6	Polish
Tak, wrócę.	2, 8	Polish
Jak smakuje? Nieźle.	7	Polish
Muszę odmówić.	2, 4, 8	Polish
Naprawdę oryginalne.	7	Polish
Mówią, że on ma mózg.	1, 3	Polish
Pamiętam,jak kiedyś rozbiliśmy kanarka mojej mamy na atomy.	5	Polish
Nie będę wysiadywać tych jaj!	1, 3	Polish
Obiecaj, że pójdziesz do lekarza jak tylko wylądujesz.	4	Polish
Klauni noszą gumowe trąbki.	1	Polish
I nie będzie przestępczości..	5	Polish
- Mówię prawdę.	3, 4	Polish
Po co pamiętać coś czego możesz sobie zażyczyć?	2, 7	Polish
Niezła!	5	Polish
Nie chcemy Mario, tego łysego osiłka w głupich okularach przeciwsłonecznych, bijącego każdego dla zabawy.	3	Polish
To ekstrakt godny Nobla.	5	Polish
- Może pan powtórzyć ten termin?	2	Polish
- Jak ona się czuje?	2, 4, 6	Polish
"Chcesz dać jej imię ""Tata""?"	3, 7	Polish
Steve, ucisz ich trochę.	1	Polish
Mają dziecko Adalind.	4, 6	Polish
Jeżeli tak, to dlaczego się z wami nie skontaktował?	3, 7	Polish
Ukryłeś go, chłopcze?	7	Polish
Cokolwiek ktoś zaczął robić, musi ponosić za to odpowiedzialność.	6	Polish
Niezwykłe nazwisko.	6	Polish
Słyszałam co innego.	1, 3	Polish
Udaliśmy się do serca tej machiny: jednostki napędowej.	4, 6	Polish
Jesteś doskonała.	5, 8	Polish
O rany, patrzcie.	3, 6	Polish
- Lantz, łączność.	2, 8	Polish
Tak naprawdę to uratowała mi życie.	8	Polish
Umiesz grać na bałałajce?	2	Polish
Panie i panowie.. z wielką przyjemnością daję wam ...  RoboCop 2.	5	Polish
Największe ryby zawsze jakoś uciekają.	6	Polish
Dlaczego odwróciłaś się ode mnie?	1, 4, 8	Polish
Pijesz dla relaksu.	8	Polish
Już za późno.	4	Polish
Przestań, Bob. Nie możesz.	3, 7	Polish
Niespodzianka!	5	Polish
Jesteśmy idealnie zgrani.	5, 8	Polish
muszę iść	6	Polish
Będę grzecznym chłopcem.	8	Polish
Mam bardzo rzadką grupę krwi. Spójrzcie.	2	Polish
Do zobaczenia w środku.	2	Polish
Może miał być jak tatuś, ale nie był.	7	Polish
Na co umarł?	8	Polish
- Zostawmy to.	1, 8	Polish
Byłam tak blisko.	1	Polish
Zdrajca!	1, 3	Polish
Straciłem 10 lat, ale było warto. Twój ojciec zapłaci za moją stratę.	1	Polish
I łysiejesz.	6	Polish
Zgadnij.	2, 5	Polish
Staję się strasznie zdrowy.	2, 5	Polish
Dlaczego myślisz, że żyjemy w dzisiejszych czasach?	1, 2	Polish
Czemu nam niczego nie mówią?	7	Polish
To wspaniale.	5, 7	Polish
Nie przetrwają bez matki.	1, 3	Polish
Robię to, patron.	4, 8	Polish
Bo niektórzy nie lubią moich metafor.	6	Polish
Mamy tu nieznajomego.	2	Polish
Mamy miłą niespodziankę.	2	Polish
- Znam.	5	Polish
Widzisz trupy!	1, 3, 4	Polish
Nie masz prawa tak myśleć.	1	Polish
To grupa ludzi o dobrych warunkach fizycznych.	3	Polish
Muszę cię mieć.	2	Polish
Proszę wziąć kilka, sir. Przydadzą się, kiedy dojdziemy do szczegółów o szczurach.	6, 8	Polish
Powinnaś być wielozakresowa.	6, 7	Polish
Hej, on nie żyje.	1	Polish
Oscar, telefon!	1, 2	Polish
/Dzwonię, bo mam noc z grami.	7	Polish
-Czego doe mnie chce?	1, 2	Polish
Jakieś ostatnie słowa?	1	Polish
- To znaczy?	1	Polish
Jak wygląda nasza sytuacja? .	4	Polish
Jak ekscytująca była by wymiana międzyplanetarna...	2	Polish
Leon !	4, 6	Polish
To naprawdę dobry pomysł, bo jeśli ktoś tu przyjdzie, będziemy tylko ja i Adalind,	2	Polish
Jesteś zwykłym szalonym naukowcem!	1, 3	Polish
To nie może być zbieg okoliczności.	4	Polish
Jesteś u władzy.	1, 8	Polish
Czekali by wieczność, przed tym bankiem.	1, 2	Polish
- Czemu targacie wszędzie te walizki? - Są dla nas bardzo cenne.	7	Polish
Och, nie wiem, naprawdę.	6	Polish
Pierścień!	7	Polish
Nic nie mówiłeś o cholernych hydraulicznych podnośnikach.	1	Polish
Przepraszam was.	6	Polish
Ster nie reaguje, sir.	7	Polish
Wiem co ja myślę.	2	Polish
- Świętujemy?	2, 5	Polish
Tu jest to o co ksiądz prosił.	5	Polish
Proszę pana, zapomniał pan mapy.	1, 2, 7	Polish
- Nie wierzę, że mnie zdjęli.	5	Polish
Trochę ryzykowne jest sprawdzanie agentki FBI.	1	Polish
- Chcecie nas wpakować w bagno, czy co?	1	Polish
Jest pan kłamcą! Powtarza się pan.	1	Polish
Posłuchaj mnie.	1, 6	Polish
Nie w ten sposób.	1	Polish
Cześć. Co to było?	1, 3, 7	Polish
Nawet w talk showach są lepsze bójki!	1, 3	Polish
Z kim ty zadzierasz, durne zwierzę?	1, 3	Polish
Nie mogę pozwolić, aby to się powtórzyło.	1, 3, 6	Polish
- Duża siła ognia.	4	Polish
- Powiem, że jestem zaręczona.	2	Polish
Chcecie do Australii?	5, 7	Polish
Zarezerwowałyśmy dwa miejsca, ale potrzebujemy trzech. Lot i nazwisko?	3, 6	Polish
Wystarczy zagwizdać słynną dziewiątą symfonie, słynnego Beethovena.	2	Polish
Wsadź se te pieniądze. Trudno oczekiwać, że cholerni jankesi cokolwiek zrozumieją.	1, 3	Polish
Woda!	2	Polish
- Sekretarka planu.	7	Polish
- Nie!	1, 4, 5, 6, 7, 8	Polish
Wysadzaj, Ramos! .	1	Polish
Przywitaj się z Carolyn Polhemus.	2	Polish
Dziękuję.	2, 5, 7, 8	Polish
Będę z ciebie dumny.	8	Polish
To moje najlepsze lądowanie.	5	Polish
Nawtykali mu jakichś bzdur do głowy.	1	Polish
- Kto wie?	1	Polish
Egan, przynieś tę mapę.	2	Polish
Zostaw mnie!	1, 4	Polish
Nigdy się o to nie martwiła.	7	Polish
Stary musi być szurnięty.	4	Polish
Wyrażę się jasno, siedzisz w tym ze mną.	1, 3	Polish
Professor Henry Higgins nas spostrzeże.	4	Polish
Chodźcie, musimy go ostrzec.	4	Polish
Od Montany do Mexico City targanie gówna dla dupków.	3	Polish
- Do szpitala.	6, 7	Polish
Płynie na nas!	5, 7	Polish
Mieliśmy więc znaczący kraj dysponujący bronią jądrową, który podjął się tego zobowiązania.	3	Polish
Myślę, że cię wyleczyliśmy.	2, 5	Polish
- Dlaczego się wycofali? - Myślę, że tyle wystarczy.	5	Polish
jesteście mordercami..	1, 3	Polish
50 bandytów tego Anglika i jeszcze inni.	2, 3, 4	Polish
Cody, zaczekaj!	4	Polish
Wierzycie w to, co mówi Nick, skoro był odurzony?	2, 4, 6, 7	Polish
Ach! Ten płk. Sellars.  Tak.	7	Polish
Co się stało? Byłam tak blisko.	1	Polish
Nieźle jak na weterana, hę?	7	Polish
Chcę pomagać ludziom.	2	Polish
Musisz kontrolować swoje emocje, synu.	1, 3	Polish
- Długotrwały stres.	6	Polish
Tak na wszelki wypadek.	4	Polish
Za nim!	2, 4	Polish
Zabierz ją, proszę.	4, 6	Polish
Moje picie nie przeszkadza w mojej pracy.	8	Polish
Do widzenia, Andre.	1, 2, 7	Polish
A jeśli odmówię?	1	Polish
Przedstawi plan całej operacji.	2	Polish
Daj!	1	Polish
- Gliniarze strajkują, głupolu.	1	Polish
- Zgadza się. Tylko że nie mamy opóźnienia.	5	Polish
Koń, który startuje...	4	Polish
Obrona zakłada, że oficer Marynarki USA nie może być tchórzem.	8	Polish
To lista pytań, które pomogłyby rozwikłać tajemnice Rosjan... i wygrać cały wyścig zbrojeń.	7	Polish
A pod koniec szczęśliwego dnia jest zarzynany nożem.	2, 4, 7	Polish
Zamknij się, albo będziesz trupem!	1	Polish
Przyjąłem, Ahme.	8	Polish
Chcę, żebyś to zobaczyła.	2	Polish
- Nikt cię nie uderzy. - Znowu?	8	Polish
Co z dynamitem?	7	Polish
Nie próbuj zmieniać tematu.	1	Polish
- To się dla nas źle skończy.	4	Polish
Czy pan mnie oskarża?	1	Polish
Wiedział, że będziemy zbyt zajęci napastnikiem w banku żeby przyjrzeć się brodaczowi, blondynce czy marudzie.	1, 2, 3	Polish
Odpalać pierwszą!	5	Polish
- A teraz łokcie.	2, 5	Polish
I wybiegłem.	1	Polish
- Zgadzam się.	8	Polish
Są w nich obaj ci faceci.	3, 4	Polish
Cholera.	1	Polish
Poza tym chciałabym poprowadzić tę sprawę sama.	2	Polish
Nie rozglądaj się.	4	Polish
Kochają i tworzą wspólnotę.	5	Polish
To może rzucić cień na OCP...	4	Polish
Pracuję nad tym i załatwię to.	4	Polish
Tam jest lepszy świat.	2, 8	Polish
Och, Rusty!	2, 5, 8	Polish
Nie ma się co dziwić, że pozbawieni tego wszystkiego stają się skłonni do samobójstwa.	1, 3, 6	Polish
Ned, już od dłuższego czasu wiem, że kradłeś złoto i jedzenie.	6	Polish
Nie, względem Philipa i Elizabeth.	6, 7	Polish
Mogę pracować? Poszła już.	1, 2	Polish
Inaczej oberwiesz!	1	Polish
- Nie jest sam.	2, 4, 7	Polish
A szansa przeżycia?	4, 7	Polish
Gówno prawda.	1	Polish
Spotkamy się w sądzie za trzy tygodnie.	1	Polish
Wiem, co pan o mnie myśli i dlaczego.	3	Polish
czy to ten Roger, którego poznaliśmy w Seaworld?	7	Polish
W ten sposób tolerancja zanika, a wiara zmienia się w gniew. Dla libańskiego ugrupowania Al-Szuhada wiara stała się furią.	4, 6	Polish
- Brandy dla mnie.	5	Polish
- Przepraszam.	3, 6	Polish
Mam ogromną przyjemność przedstawić panom...	5, 8	Polish
Powinnam zostać tam gdzie moje miejsce.	6	Polish
Nadal noszę muszkę, żeby wyglądać tak jak ty.	8	Polish
Schowaj się w bieżniku!	1	Polish
Możemy.	8	Polish
Była zła na ciebie.	6	Polish
Siedzimy po uszy w kłopotach, proszę pana.	4, 6	Polish
Dlaczego nie dasz sobie pomóc?	6, 7	Polish
Przepraszam. Chcę być miła.	1	Polish
-Tak, jak to jest? -Wykładany?	2	Polish
Cain mnie męczy.	1, 3	Polish
Jesteśmy na miejscu.	7	Polish
przepraszam panowieli, jeżeli ma on być poświęcony groźnej kaili dlaczego nie ma być pomalowany na czerwono?	7	Polish
Panie i panowie, z wielką przyjemnością przedstawiam wam Robocopa 2.	5	Polish
Tyle truskawek dziś zjedliśmy.	3, 6	Polish
- Dowiesz się.	4	Polish
Mam coś niuniknionego do powiedzenia tobie.	4, 6	Polish
- Gdy ostatnio u mnie byłeś, też mówiłeś, że nie popełniłeś przestępstwa, by dokończyć robotę.	1	Polish
A ja muszę tylko iść. Weźmiemy taksówkę?	2, 8	Polish
Więcej niż dwa?	7	Polish
Na razie jesteś poza podejrzeniem.	5, 8	Polish
Ten darń oskarżył mnie o kradież żarcia kolegi.	1	Polish
uwaga Ahme, wracajcie do bazy.	8	Polish
- Chciałbym z tobą pomówić. - Zejdźcie z drogi.  Odsuńcie się.	1, 6	Polish
Tylko gdzie on jest?	7	Polish
I nie mogę.... -Tak, a ja mówiłem, żebyś się zamknął.	7	Polish
Moja dziewczynka.	5, 8	Polish
O Boże...	2, 7	Polish
Underwood u władzy może wyrządzać szkody.	6	Polish
Spóźniłeś się! - Szlajasz się z tymi dupkami.	1	Polish
Mam karetę ciągniętą, nie przez cztery konie, lecz z siłą dwustu.	5	Polish
Koniec uciekania.	1, 5	Polish
Nie mówiłem, że chcę kogokolwiek zabijać.	2, 4	Polish
Zaraz po tym, jak zerwała ze mną.	6	Polish
Oto największe zagrożenie stojące przed naszym narodem..	4, 6	Polish
- To twoja wina.	3	Polish
Uśmiechamy się.	2, 5	Polish
Każdy z nas ma trochę świra.	2, 3, 5, 6, 8	Polish
Ale nie jesteśmy.	7	Polish
Calutkiego dolara?	2, 7	Polish
- Nie mogę odpalić auta.	6, 7	Polish
Nick nie zmyśliłby tego i nie dzwoniłby o tym powiedzieć, gdyby to nie była prawda.	1, 8	Polish
Zmierzmy czas Lancelotowi, kiedy przybywa z odsieczą. - Co się tu dzieje?	7	Polish
Gdzie jesteś, Dante?	2	Polish
Działają!	5, 7	Polish
Tu mówi kapitan.	4	Polish
Powiedział, że nie potrzebuje pilotów.	6, 7	Polish
Zaczynasz mnie wnerwiać.	4	Polish
- Łże jak pies.	1	Polish
Jej cipce.	3	Polish
Ciota! Normalnie nie wierzę.	5, 8	Polish
- Nie mówiłam, że jestem od nich.	1, 3, 6	Polish
Dobra, Angel, też mi zrób. - Nie pij tak, stary.	1	Polish
To kiepska wymówka.	6	Polish
- Drżę o własne życie.	4	Polish
Badacze środowiska przewidują katastrofę...	1, 7	Polish
Marto, kocham cię.	4	Polish
Jeśli jeden z nich cię śledził, to musi być ich więcej.	4	Polish
Kobiety uwielbiają samotnych ojców.	7	Polish
- Myślisz, że jestem idiotą?	1, 7	Polish
Pokaż łzy, krew, Egan.	1, 2	Polish
- Odpowiedzialny za pirsy i składy?	7	Polish
Ten dzieciak to potwór!	3	Polish
Nie jestem pewna.	2	Polish
- Poranne przytulanie?	1, 8	Polish
Mam sobie coś przypomnieć?	2	Polish
Wiedziałaś, że w ciężarówce była świnia?	2, 7	Polish
Przestaję istnieć jak ten krążownik.	6	Polish
Szukam Juniora.	2	Polish
Co to ma znaczyć ?	1	Polish
- Halo ...	4	Polish
Chcę odzyskać mój paszport.	1	Polish
Hej, Chino.	2	Polish
- Nikogo nie będę uspokajał.	8	Polish
Chcę jeszcze wiele przeżyć i zobaczyć.	6	Polish
- Rozumiem.	1, 3, 5	Polish
To nieludzkie!	1	Polish
Właśnie dlatego, dzięki okolicznościom które, proszę mi wierzyć, są poza moją kontrolą, radzę pani nie jechać do Rzymu na próbne zdjęcia.	3	Polish
- Ty się zamknij!	1	Polish
Martwiłam się.	4, 6	Polish
Nigdy nie mówili i nigdy nie będą.	1, 8	Polish
Możesz nas teraz zastrzelić.	6	Polish
Kocham żonę i dziecko.	5	Polish
Chcesz jajka czy nie?	1	Polish
Trochę szacunku, panowie.	6	Polish
Jak smakuje ?	2, 7	Polish
Ale możesz zmienić coś w swoim życiu.	6, 7	Polish
Nawet gdyby można było twoje zaangażowanie w narkotyki wpędziło mnie.	1, 3	Polish
- Załatwione.	8	Polish
Faith, puść mnie, proszę!	1	Polish
Wchodziliśmy na pokład, kiedy to się stało.	1, 4	Polish
To ja! /	2, 5	Polish
- Szybko się nauczysz.	8	Polish
Załoga była fajna.	5, 8	Polish
- Skończyłem.	1	Polish
I to próbowali mi wydrzeć. Wsadzili mnie do więzienia, lecz nie udało im się mnie złamać.	4	Polish
Musimy tylko zdobyć klucze!	2	Polish
Proszę nie być nostalgicznym.	1	Polish
- Tylko 900?	6	Polish
Nie mów, że cię znów wypuścili?	3	Polish
- One wszystkie były przerabiane!	4, 7, 8	Polish
W gruzie, to trudno wyrazić.	2	Polish
-Tak, płk. Brant'a.	2	Polish
- Art widział, jak ją gonił.	1	Polish
To legenda.	2, 5, 8	Polish
- Nic o tym nie wiem. - Sprawdźmy to, dobra?	4	Polish
- Proszę zasłonić!	1	Polish
Przysięgam, jeśli jeszcze raz będę musiała rozcinać zwłoki dla eliksiru...	1	Polish
Zapomniałam, kim jestem:	7	Polish
Najpierw zaprzeczyli, a potem wykręcali się od odpowiedzi.	3	Polish
Wsiądziemy do szalupy i wypływamy! Hej, profesorze!	5	Polish
"Żadne ""może""."	6, 7	Polish
- Tak.	1, 2, 4, 5, 7, 8	Polish
Widziałeś jak spojrzał na Jake'a?	2, 3, 6, 7	Polish
Posłuchałeś mojej rady i zrobiłeś dziecko komuś innemu, matce zastępczej.	8	Polish
Chodź Rock.	4	Polish
To nie zadziała.	6	Polish
I nie wiem, co się stało.	6	Polish
Musimy ich zatrzymać, zanim zapłacą okup.	2	Polish
- Muszę spadać.	3	Polish
To ja miałem nadzieję, że mógłbym ci pomóc. - Pomyślisz o tym?  - Tak.	4, 6	Polish
",Ben i Flo Healy idą na kolejne przyjęcie ze swoim synem!"""	2, 5, 7	Polish
Nic z tego nie było winą Juliette.	7	Polish
Słyszysz mnie?	4	Polish
Nie wezmę tego. Chłopie, nie wiem, jak ty przeżyłeś na tym świecie tak długo.	7	Polish
Jedno z moich największych rozczarowań minionych 25 lat to ludzie, którzy nie mają odwagi mówić o własnych przekonaniach.	1, 3, 6, 7	Polish
Nie byłem szkolony do walki.	4	Polish
W róćmy do bajki.	1	Polish
Dopiero co wygraliśmy wybory.	5	Polish
Gdzie to dostałeś?	2	Polish
Wynieś te żarówki. Tylko ich nie potłucz.	8	Polish
- Ty nie jesteś?	2, 3	Polish
Do obiadu!	5	Polish
Albo polowanie?	2	Polish
Niech cię Bóg ma w opiece.	5, 8	Polish
Wielu z obecnych polityków może stracić urząd.	1	Polish
Nienawidzę cię, Gibbs.	3	Polish
My naprawdę nic nie wiemy.	7	Polish
- To nie świątynia, co nie?	2, 4, 6, 7, 8	Polish
- Zostało mało czasu.	1	Polish
Dobrze, ale następny razem, chcę wiedzieć.	1	Polish
Sześć rannych, dwa są w izbie chorych, dwie poważniej ranne przewieziono do Norfolk Memorial.	4	Polish
Tu właśnie rozpoczęła się rewolucja.	5	Polish
To jest po prostu okropne.	4, 6	Polish
- Jesteś bardzo uprzejmy.	1	Polish
Chce ci się pić, synu?	1, 2	Polish
Szukasz pracy?	8	Polish
- Poczekaj, aż moi kumple cię dorwą.	4	Polish
- Czy to w porządku z jego strony?	2	Polish
Nie mogłem nic zrobić.	6	Polish
- Nie.	1, 3, 4, 6, 7	Polish
Profesorze! Wszystko zniszczyć?	5	Polish
większy od ciebie..	1, 3	Polish
- Opowiadajmy historie o duchach.	2	Polish
Tam. W tych niebieskich oczach.	2, 8	Polish
Możemy nadal prowadzić dialog. - W tym czasie...	2, 5	Polish
- Lombino nic nie mówił...	6	Polish
- To mordy w kubeł, głupole!	1	Polish
Dla ciebie wszystko, mój ty złociutki.	5, 8	Polish
Jestem pewna, że Chiny kłamią i na pokładzie nie ma Amerykanina.	1	Polish
Czy na pewno?	7	Polish
To dzwonię po gliny. Zabiję cię kurwa!	1	Polish
Czym jesteś ?	2	Polish
- No już. No dalej.	4, 5, 8	Polish
Naprawdę go lubiłam.	6	Polish
I ku mojemu wielkiemu zdziwieniu... trudniej jest się pożegnać niż myślałem.	6	Polish
- Dobranoc. Do jutra.	2, 8	Polish
Gówno mnie obchodzi, czy przy tym zginę czy nie.	1, 4	Polish
To nie ma sensu.	3, 6	Polish
- Jakiś czas temu.	1, 3	Polish
Dziękuje za troskę..	5, 7, 8	Polish
-Wziął pan ten wydruk czy nie?	6, 7	Polish
Nie czas na żarty!	1, 2	Polish
- Nie teraz, Francois, jestem zajęty!	1, 2, 3	Polish
Sądzisz, że chcę cię zwolnić?	2	Polish
Nic mi nie jest..	2, 5	Polish
upss...przepraszam Ringo	7	Polish
Jakie to ma znaczenie, czy jestem zadowolona?	3	Polish
Obiecuję, że dzieciak pojedzie za tydzień na koniu tych maniaków.	8	Polish
- Zwalniam cię.	6	Polish
- Czyli zgłosi ją siostra na policję? - Nie mogę.	4	Polish
Co obierasz?	2	Polish
Żeby sprawdzić czy jest pan hazardzistą, czy trenerem.	2	Polish
Proszę, mogę spojrzeć? - Dobrze.	5	Polish
- No raczej.	2	Polish
Co to...	7	Polish
Postępować zgodnie z planem.	8	Polish
Możemy pójść do Fairmont...	6	Polish
Ty mi powiedz, Steve.	2	Polish
Mały chłopiec potrzebuje naszej pomocy.	2	Polish
Nie było rozkazu, żeby manewrować.	1, 3	Polish
Nie myśl sobie, że to były słowa rzucone na wiatr.	4	Polish
Tak, ale pan wygra.	2	Polish
Będę pamiętał na czyim gram korcie.	1	Polish
no nie czas na wygłupy	1, 2	Polish
Pragnę cię, Isabelle.	5, 8	Polish
Ale to nie szkodzi. I tak nigdy byś mnie nie posiadła.	5	Polish
Jesteś młoda, jeszcze się ogarniesz.	2, 5	Polish
"Błagał Siegfrieda, by oszczędził mu życie."""	4, 6	Polish
Mój szef cię wywali z roboty!	1	Polish
OCP obcięło nam pensję o 40% i zlikwidowało emerytury.	1	Polish
Biedny Seth. To wszystko jest straszne, prawda?	6	Polish
Jest pan nie tylko oszustem, ale i mordercą.	1, 3	Polish
- Cześć.	2, 5, 8	Polish
Ruszy ktoś mózgownicą?	2, 4	Polish
Powinniśmy dawać przykład, Anne.	2	Polish
Moc, która sprawia, że twe książki stają się puste... uwięziła mnie w mym zamku.	6	Polish
- Dzięki Bogu, odebrałaś.	5	Polish
To stało się pod twoją opieką.	1, 3	Polish
Zapewnijcie senor Mendeza, że będzie pod opieką naszych modlitw.	8	Polish
Wiedziałeś, że te dokumenty nie miały związku z moją sprawą.	1	Polish
Hej klaunie!	1, 3	Polish
Po prostu odpowiadaj na pytania. - Czy on kiedykolwiek pokazał ci pierścień?	5	Polish
Twoi rodzice nie przychodzą dziś wieczorem?	2	Polish
I dlatego jest królem.	8	Polish
Stało się coś... co nie miało miejsca od 30 lat.	4, 6, 7	Polish
Pytanie z kim spałam nie jest osobistym pytaniem?	1	Polish
Przez 10 dni czekałam na ten okręt!	1	Polish
Po prostu nie podoba mi się, że bluźnisz.	3	Polish
Nie, oszalałaś?	1, 3, 7	Polish
Twoja oferta była dla nich potwarzą.	1, 7	Polish
- To straszliwa pomyłka.	6	Polish
Nie zapomnij o kanibalach.	4	Polish
- Więc jaka będzie moja obrona?	4	Polish
Chciałem przeprosić za ostatnią noc. I byłem ciekaw, czy moglibyśmy się dziś spotkać.	3, 6	Polish
Dobrze. Osobiście ci je pokażę.	2, 5, 8	Polish
Około sześć miesięcy temu, zakochałem się w jednej z nich.	5	Polish
Sądzisz, że ktoś wpuszczony przez nią otworzył okno, by upozorować włamanie?	7	Polish
Mam nadzieję, że bolało.	2, 6	Polish
Chce moje 80 milionów!	2	Polish
Nie jestem psychiatrą, a jej przydałaby się profesjonalna pomoc. Dobrze mówi.	4, 6	Polish
Przepraszam za to, co zrobiłem.	4, 6, 8	Polish
To jest postać!	5, 7	Polish
Bez odbioru.	1, 8	Polish
"O, pewnie. ""Płacz ile chcesz."	3	Polish
Do Rosji.	2, 4, 5	Polish
Lecz nawet dla nas przychodzi czas, kiedy musimy się obudzić.	2	Polish
Zabrał mi Ebena.	1	Polish
Nie jestem tym, za kogo mnie brałeś.	3, 6	Polish
Dawaj portfel...	1	Polish
- Chodźmy. - To musi być tutaj!  - Zabierzcie ją.	1, 4	Polish
Niech oni zadecydują.	3	Polish
Pija pani to?	2	Polish
-Jeśli to nie problem, sir.	4, 8	Polish
- Sztorm się zbliża. Napraw żagle.	2, 4, 7	Polish
Gdzie ten rękopis?	2	Polish
Jak myślisz?	2	Polish
Powiedz mu, żeby cię pilnował. Będziesz z nim bezpieczny.	8	Polish
Po raz ostatni zanurzamy się w morskie głębiny.	2, 4	Polish
W tym tygodniu Lucy kończy 6 lat, ale w tym roku na urodzinach nie będzie klauna.	2, 8	Polish
Och, właśnie się z nią widziałeś.	6, 7	Polish
Myślę, że jesteś głupi.	1, 3	Polish
Weź ten kawałek.	2	Polish
- To morderczynie!	1	Polish
Pieprzony pedał.	1, 3	Polish
Bardzo ich to ciekawi.	2, 5	Polish
Piec wygasł.	1, 6	Polish
Cieszysz się tylko ze swojego wina.	5	Polish
Zostaw ją, ty stara kurwo!	1, 3	Polish
Nie ma sprawy.	5	Polish
Lepiej, żeby to było dobre, panie władzo.	2, 3	Polish
- Naprawdę?	1, 7	Polish
Sęk w tym, że poszli na ugodę.	4	Polish
"Powiedziałem: ""Popieprzyło cię?"""	1, 3, 7	Polish
Więc taka jest naprawdę?	3, 6, 7	Polish
W pi-bip.	8	Polish
Szkoda że tego nie widziałem w zeszłym tygodniu. Kto by pomyślał.  Kurcze.	1	Polish
Tak, ale co za różnica, skoro wygraliśmy?	1	Polish
Wszyscy muszą zniknąć.	2, 5	Polish
Nie uczyniłam moralnie nic złego z wyjątkiem...	1, 5	Polish
- To było o kurach, głupku.	8	Polish
- Ja bym nie popełnił samobójstwa w ten sposób.	6	Polish
Kim oni są?	2	Polish
Przykro mi z powodu twojej małej straty.	6	Polish
A jak tam te...	6, 7	Polish
Wnoszę sprzeciw.	1	Polish
- Miło mi?	5	Polish
Fuzzball to nasz kot.	8	Polish
Daj mu satysfakcję. Potrzebuję tej przysługi.	1, 3	Polish
Odebrałaś chleb połowie mieszkańców.	1, 3, 4	Polish
- Nie rób sobie wyrzutów.	5, 6, 8	Polish
Skąd jesteś?	2	Polish
- Nie trzeba.	1	Polish
Być może nie będzie mnie już niedługo.	4, 6	Polish
- Zgubiłem się.	6	Polish
- Twoja opinia może być ciekawa... - Dzięki.	8	Polish
Chyba jutro obudzą się po raz ostatni.	1, 5	Polish
Pani nie ma tego żółtego czegoś. A to zielone jest u pani brązowe.	3	Polish
Ja już mam dosyć gadania. Teraz wasza kolej.	1, 2, 5	Polish
Taka polityka sklepu. Wynieś te żarówki.  Tylko ich nie pozbijaj.	8	Polish
Tego nie chcemy, prawda?	2, 4	Polish
Dobrze.	1, 2, 3, 5, 8	Polish
Łowdog, którego zabiłam, był z Verratu.	2, 5	Polish
-Wiem, ale nigdy bym tego nie tknął.	1, 7	Polish
Ale nie na zawsze.	6	Polish
Tak lepiej.	7	Polish
Pomóż mi.	2, 4, 8	Polish
900, minus marża. Jestem rozczarowany.  To była ostatnia rzecz jaką miałem.	6	Polish
A Barley?	2	Polish
Nieee...?	4, 7	Polish
Wejdą tu?	4	Polish
- Donna, wyjdź.	1	Polish
Lepiej niż umrzeć w hotelu.	1, 2, 6	Polish
No tak. Ale żal mi będzie zostawić Faith.	6	Polish
To mój ulubiony temat.	2, 5	Polish
Gdzie jest Cain?	1, 2	Polish
Straciliśmy tętno dziecka.	6	Polish
I potem, osobiście.... ...osobiście przekażę ciebie Japończykom.	1, 2	Polish
- Kto to?	1	Polish
Nienawidzę denerwować się.	1	Polish
Nie miała kapturka.	2, 4, 7	Polish
